rank,university,country,city
137,Newcastle University,United Kingdom,Newcastle upon Tyne
138,Alma Mater Studiorum - University of Bologna,Italy,Bologna
138,Macquarie University,Australia,Sydney
140,Eindhoven University of Technology,Netherlands,Eindhoven
140,Erasmus University Rotterdam,Netherlands,Rotterdam
140,"University of North Carolina, Chapel Hill",United States of America,Chapel Hill
143,King Saud University,Saudi Arabia,Riyadh
144,Texas A&M University,United States of America,College Station
145,Technische Universität Berlin,Germany,Berlin
146,University of Southern California,United States of America,Los Angeles
147,Stockholm University,Sweden,Stockholm
147,University of Groningen,Netherlands,Groningen
147,University of Liverpool,United Kingdom,Liverpool
150,University of Cape Town,South Africa,Cape Town
151,Western University,Canada,London
152,University of Vienna,Austria,Vienna
153,Universiti Teknologi Malaysia (UTM),Malaysia,Johor Bahru
153,Wageningen University & Research,Netherlands,Wageningen
155,University of Exeter,United Kingdom,Exeter
155,University of Geneva,Switzerland,Geneva
157,Lancaster University,United Kingdom,Lancaster
158,University of Basel,Switzerland,Basel
159,Hanyang University,Republic of Korea,Seoul
160,University of Barcelona,Spain,Barcelona
161,Michigan State University,United States of America,East Lansing
162,Ghent University,Belgium,Ghent
163,King Abdul Aziz University (KAU),Saudi Arabia,Jeddah
164,Nagoya University,Japan,Nagoya
165,Chalmers University of Technology,Sweden,Gothenburg
166,Al-Farabi Kazakh National University,Kazakhstan,Almaty
167,Washington University in St. Louis,United States of America,St. Louis
168,University of Montreal,Canada,Montreal
169,University of York,United Kingdom,York
170,Hokkaido University,Japan,Sapporo
170,Kyushu University,Japan,Fukuoka
172,Universitat Autónoma de Barcelona,Spain,Barcelona
173,Arizona State University,United States of America,Tempe
173,McMaster University,Canada,Hamilton
173,Universidad de Chile,Chile,Santiago
176,National Tsing Hua University,Taiwan,Hsinchu
177,Khalifa University of Science and Technology,United Arab Emirates,Abu Dhabi
177,Tongji University,China (Mainland),Shanghai
179,"University of California, Santa Barbara (UCSB)",United States of America,Santa Barbara
180,Indian Institute of Technology Madras (IITM),India,Chennai
181,Cardiff University,United Kingdom,Cardiff
182,Emory University,United States of America,Atlanta
183,Curtin University,Australia,Perth
184,University of Bern,Switzerland,Bern
184,University of Wollongong,Australia,Wollongong
186,Wuhan University,China (Mainland),Wuhan
187,Tecnológico de Monterrey (ITESM),Mexico,Monterrey
187,University Complutense Madrid,Spain,Madrid
189,UNIVERSITAS INDONESIA,Indonesia,Depok
190,Ohio State University,United States of America,Columbus
191,"Queen's University, Ontario",Canada,Kingston
191,Université Catholique de Louvain (UCL),Belgium,Louvain-la-Neuve
193,Universität Hamburg,Germany,Hamburg
194,University of Reading,United Kingdom,Reading
194,Vrije Universiteit Amsterdam,Netherlands,Amsterdam
196,Waseda University,Japan,Tokyo
197,University of Otago,New Zealand,Dunedin
197,Vienna University of Technology,Austria,Vienna
199,National Yang Ming Chiao Tung University,Taiwan,Hsinchu
199,Queen's University Belfast,United Kingdom,Belfast
201,Universität Freiburg,Germany,Freiburg
202,University of Gothenburg,Sweden,Gothenburg
203,National Cheng Kung University (NCKU),Taiwan,Tainan
203,University of Twente,Netherlands,Enschede
205,Ecole Normale Supérieure de Lyon,France,Lyon
206,Universidad Autónoma de Madrid,Spain,Madrid
207,Deakin University,Australia,Melbourne
207,Rheinische Friedrich-Wilhelms-Universität Bonn,Germany,Bonn
207,"University of Maryland, College Park",United States of America,College Park
210,University of Minnesota (System),United States of America,Minneapolis
211,University of Calgary,Canada,Calgary
212,Universidad de Los Andes Colombia,Colombia,Bogotá
212,University of Florida,United States of America,Gainesville
212,University of Lausanne,Switzerland,Lausanne
215,Eberhard Karls Universität Tübingen,Germany,Tübingen
215,Indian Institute of Technology Kharagpur (IITKGP),India,Kharagpur
215,Keio University,Japan,Tokyo
218,Technische Universität Dresden,Germany,Dresden
219,Indian Institute of Science (IISc) Bangalore,India,Bangalore
219,University of Ottawa,Canada,Ottawa
221,Chulalongkorn University,Thailand,Bangkok
222,Indian Institute of Technology Kanpur (IITK),India,Kanpur
223,Tel Aviv University,Israel,Tel Aviv
224,Universitas Gadjah Mada,Indonesia,Yogyakarta
225,Loughborough University,United Kingdom,Loughborough
226,Queensland University of Technology,Australia,Brisbane
227,The University of Newcastle,Australia,Newcastle
227,Université Libre de Bruxelles (ULB),Belgium,Brussels
229,United Arab Emirates University,United Arab Emirates,Al Ain
230,Massey University,New Zealand,Palmerston North
230,University of Lisbon,Portugal,Lisbon
232,Universität Erlangen-Nürnberg,Germany,Erlangen
233,La Trobe University,Australia,Melbourne
233,Universidade Estadual de Campinas (Unicamp),Brazil,Campinas
233,University of Padova,Italy,Padua
236,University of Rochester,United States of America,Rochester
237,American University of Beirut (AUB),Lebanon,Beirut
237,University of Porto,Portugal,Porto
239,Maastricht University,Netherlands,Maastricht
240,Hebrew University of Jerusalem,Israel,Jerusalem
240,Victoria University of Wellington,New Zealand,Wellington
242,Politecnico di Torino,Italy,Turin
243,Georg-August-Universität Göttingen,Germany,Göttingen
244,Hamad Bin Khalifa University,Qatar,Doha
244,Hong Kong Baptist University,"Hong Kong SAR, China",Hong Kong
246,University College Cork,Ireland,Cork
247,Beijing Normal University,China (Mainland),Beijing
247,Dartmouth College,United States of America,Hanover
247,"University of Massachusetts, Amherst",United States of America,Amherst
250,Vanderbilt University,United States of America,Nashville
